datetime,user,heartrate,steps
2020-08-16 04:41:00,AHYIJDV,55,0
2020-08-16 04:42:00,AHYIJDV,53,0
2020-08-16 04:44:00,AHYIJDV,61,0
2020-08-16 04:47:00,AHYIJDV,64,23
2020-08-16 04:48:00,AHYIJDV,64,22
2020-08-16 10:04:00,AHYIJDV,66,0
2020-08-16 12:57:00,AHYIJDV,74,10
2020-08-16 12:58:00,AHYIJDV,76,6
2020-08-16 13:00:00,AHYIJDV,75,7
2020-08-16 13:02:00,AHYIJDV,81,9
2020-08-16 13:04:00,AHYIJDV,79,0
2020-08-16 13:06:00,AHYIJDV,80,0
2020-08-16 13:07:00,AHYIJDV,85,0
2020-08-16 13:09:00,AHYIJDV,83,0
2020-08-16 13:11:00,AHYIJDV,83,18
2020-08-16 13:14:00,AHYIJDV,82,0
2020-08-16 16:14:00,AHYIJDV,69,0
2020-08-16 16:15:00,AHYIJDV,67,8
2020-08-16 16:16:00,AHYIJDV,72,0
2020-08-16 16:19:00,AHYIJDV,72,0
2020-08-16 16:20:00,AHYIJDV,74,0
2020-08-16 16:21:00,AHYIJDV,74,0
2020-08-16 16:22:00,AHYIJDV,75,0
2020-08-16 16:24:00,AHYIJDV,74,0
2020-08-16 16:25:00,AHYIJDV,65,0
2020-08-16 16:27:00,AHYIJDV,69,0
2020-08-16 16:28:00,AHYIJDV,66,0
2020-08-16 16:29:00,AHYIJDV,72,0
